spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,species
TILA,PWM,52,0.378431373,1.59,149.99,159.54,0.0282,0.1841,0.0111,0,1.1098,0.014,242.84,2.1423,2
TILA,PWM,53,0.356022334,1.61,146.97,155.03,0.0395,0.2899,0.2934,0.0092,0.8936,0.0162,240.74,-2.0704,2
TILA,PWM,54,0.383747831,1.79,161.56,145.38,0.1424,0.3,0.0824,0.004,0.9756,0.0199,232.03,-0.2966,2
TILA,PWM,55,0.371396269,1.34,161.9,142.35,0.0035,0.1932,0.0652,0.0031,0.9036,0.0143,240.92,-0.986,2
TILA,PWM,56,0.409850484,3.74,164.33,140.84,0.1487,0.2959,0.1694,0.0064,0.6342,0.0144,239.14,-0.5426,2
TILA,PWM,57,0.383144857,4.35,149.19,153.13,0.2156,0.3267,0.1821,0.0067,0.8236,0.0402,232.47,-1.1036,2
TILA,PWM,58,0.334036383,0.8,153.41,145,0.0045,0.1878,0.1288,0.0054,0.7569,0.0215,228.58,-0.1802,2
TILA,PWM,59,0.395379365,2.1,141.28,154.43,0.0442,0.2427,0.0916,0.0045,1.0261,0.012,244.8,-2.8594,2
TILA,PWM,60,0.389197776,0.55,149.62,135.88,0.0032,0.3139,0.1162,0.006,1.0586,0.0148,238.53,-2.3482,2
TILA,PWM,61,0.366189112,1.55,159.93,142.24,0.0618,0.2268,0.0958,0.005,0.9597,0.0172,247.5,-2.3897,2
TILA,PWM,62,0.429973238,1.52,155.11,141.14,0.0586,0.2666,0.0682,0.0039,0.8185,0.0109,245.92,0.5459,2
TILA,PWM,63,0.362926547,0.93,174.71,127.95,0.0121,0.2214,0.0344,0,0.7877,0.016,236.12,1.2515,2
TILA,PWM,64,0.336926479,2.24,153.28,137.44,0.0707,0.1944,0.1473,0.0048,0.9624,0.0309,231.62,-1.4921,2
TILA,PWM,65,0.40773639,1.89,161.86,119.52,0.1159,0.2528,-0.0566,0,0.9819,0.0155,238.66,-2.5218,2
