spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,species
BANG,CFM,45,0.281014024,179.14,132.88,64.17,0,0.1321,0.0226,0,0.9378,0.0914,237.24,7.0846,0
BANG,CFM,46,0.232895457,2.3,129.91,55.37,0.0965,0.2325,-0.0202,0,0.8424,0.0585,231.41,4.8617,0
BANG,CFM,47,0.262698413,179.45,166.4,52.62,0.0002,0.1026,-0.0366,0,0.8348,0.0472,236.94,2.0978,0
BANG,CFM,48,0.265296133,179.42,181.53,50,0,0.1128,-0.0013,0,0.8388,0.0199,238.75,0.0662,0
BANG,CFM,49,0.325362319,179.18,189.06,61.97,0,0.0912,-0.0387,0,0.8584,0.0219,229.88,4.8301,0
BANG,CFM,50,0.272813239,178.73,190.5,65.67,0,0.1136,-0.024,0,0.8378,0.0501,232.86,-1.1793,0
BANG,CFM,51,0.245527307,5.1,166.96,87.95,0.0082,0.1462,0.0128,0,0.9579,0.0013,237.48,-5.3939,0
BANG,CFM,52,0.320754717,0.75,156.53,63.83,0.0201,0.1534,0.1114,0.0004,0.8929,0.0343,224.81,-7.3517,0
BANG,CFM,53,0.251882272,2.05,151.88,75.48,0.0368,0.2286,0.0002,0,1.0142,0.0239,228.14,-4.1856,0
BANG,CFM,54,0.336377473,3.45,157.62,43.07,0,0.1453,0.0781,0.0001,0.876,0.0454,225.52,-3.5243,0
BANG,CFM,55,0.258056758,179.53,163.36,67.36,0.0002,0.1108,0.0251,0.0004,0.9737,0.008,230.64,-4.0255,0
BANG,CFM,56,0.263954095,1.34,176.28,53.9,0,0.086,0.0307,0.0001,0.8027,0.0124,226.03,0.7255,0
BANG,CFM,57,0.195684524,179.23,176.75,63.86,0.0001,0.103,-0.0245,0.0002,1.0123,0.0049,223.44,0.4964,0
BANG,CFM,58,0.243328481,0.67,147.54,80.45,0.0232,0.1228,0.0131,0,0.7064,0.0476,226.05,0.1561,0
BANG,CFM,59,0.325178389,1.92,170.6,77.8,0.0786,0.2097,0.005,0,0.7992,0.0187,231.6,1.1714,0
BANG,CFM,60,0.249179559,179.99,171.31,44.35,0,0.1173,0.0061,0,0.8943,0.0116,219.71,3.2593,0
BANG,CFM,61,0.302690583,0.79,176.56,63.07,0,0.138,-0.0718,0,0.9438,0.0018,232.29,-1.7338,0
