spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
CARP,NFP,14,0.1285,0.0001,0.7573,0.0862,224.45,0.4509
CARP,NFP,15,0.3693,0.0082,0.8891,0.0985,222.48,3.9722
CARP,NFP,16,0.2541,0.0018,0.6985,0.0519,217.22,-1.1466
CARP,NFP,17,0.1502,0,0.8446,0.0986,223.47,-2.4571
CARP,NFP,18,0.0554,0,0.8636,0.0893,223.78,-3.5589
CARP,NFP,19,0.0282,0.0002,0.9266,0.0524,223.97,-0.1319
CARP,NFP,20,0.1444,0,0.8167,0.0349,237.4,-0.2763
CARP,NFP,21,0.141,0,0.8234,0.0945,224.69,1.5991
CARP,NFP,22,0.0633,0,0.9357,0.0462,216.73,5.504
CARP,NFP,23,0.089,0,0.8271,0.0099,239.82,0.6364
CARP,NFP,24,0.0393,0,0.9027,0.0496,216.89,-1.9913
CARP,NFP,25,0.0952,0,0.7936,0.0554,223.96,-0.4038
CARP,NFP,26,0.0588,0,0.7785,0.0712,226.46,-1.8821
CARP,NFP,27,0.121,0.0018,0.7299,0.0767,229.19,2.7645
CARP,NFP,28,0.2028,0,0.7425,0.0585,230.78,3.0211
CARP,NFP,29,0.0292,0,0.9625,0.0852,219.53,0.2122
CARP,NFP,30,0.0263,0,0.9766,0.059,217.09,0.5023
CARP,NFP,31,0.0808,0,0.9266,0.1026,224.59,2.796
CARP,NFP,32,0.0226,0,0.9765,0.0872,222.02,3.3891
CARP,NFP,33,0.0359,0,0.863,0.0951,227.64,-3.2189
CARP,NFP,34,0.0649,0,0.8657,0.021,231.2,-1.8923
CARP,NFP,35,0.1473,0.0021,0.8142,0.016,240.75,-0.9995
CARP,NFP,36,0.0398,0,0.8484,0.0176,231.56,0.8762
CARP,NFP,37,0.2363,0.0042,0.8997,0.0573,226.27,2.9108
CARP,PWM,1,0.1677,0,0.8063,0.0534,216.66,2.9752
CARP,PWM,2,0.0406,0.0002,0.9542,0.0767,227.28,4.6036
CARP,PWM,3,0.5252,0.0223,0.7701,0.066,226.06,0.2065
CARP,PWM,4,0.0874,0,0.9001,0.094,221,2.5645
CARP,PWM,5,0.1369,0,0.8456,0.0502,220.14,2.4553
CARP,PWM,6,0.383,0.0174,0.7069,0.0557,217.78,2.7459
CARP,PWM,7,0.1063,0.0007,0.7481,0.1005,222.67,3.9718
CARP,PWM,8,0.1286,0.0024,0.917,0.0903,229.25,2.9185
CARP,PWM,9,0.1163,0,0.9286,0.0574,220.8,-1.4731
CARP,PWM,10,0.2415,0.0031,0.9217,0.0642,224.92,3.5268
TILA,BWM,1,0.1868,0.0041,1.2968,0.0068,234.54,-6.964
TILA,BWM,2,0.0944,0.0028,1.1566,0.0142,213.96,-8.9177
TILA,BWM,3,0.2223,0.0074,0.9751,0.0052,230.19,-15.1125
TILA,BWM,4,0.2354,0.0101,1.3967,0.0312,214.68,-10.8141
TILA,BWM,5,0.0665,0.0009,1.2755,0.0082,227.69,-7.4695
TILA,BWM,6,0.0722,0.0025,1.789,0.0143,225.65,-5.298
TILA,BWM,7,0.1131,0.0006,1.7118,0.0265,221.58,-3.5052
TILA,BWM,8,0.1994,0.0031,1.7351,0.0182,220.32,-9.0116
TILA,BWM,9,0.0965,0.0002,1.4864,0.0045,209.06,-11.7923
TILA,BWM,10,0.0092,0.0023,1.4691,0.0159,208.3,-5.931
TILA,BWM,11,0.077,0.0028,1.0352,0.0904,205.65,-2.3064
TILA,BWM,12,0.1658,0.0056,0.8161,0.0904,215.85,-1.3835
TILA,BWM,13,0.157,0.0063,1.1154,0.0326,205.13,-2.4702
TILA,BWM,14,0.2444,0.0078,1.0364,0.0631,217.42,-2.0619
TILA,BWM,15,0.1416,0.0054,1.0772,0.0406,207.51,-2.2476
TILA,BWM,16,0.079,0.0024,1.0019,0.0278,205.8,0.8214
TILA,BWM,17,0.2273,0.0072,1.013,0.0238,202.28,0.9298
TILA,BWM,18,0.1507,0.005,1.1579,0.0272,205.34,-2.7721
TILA,BWM,19,0.4233,0.0172,0.9782,0.0627,216.53,0.244
TILA,BWM,20,0.1943,0.0052,0.9436,0.0423,209.35,-2.924
TILA,BWM,21,0.2327,0.0041,1.0916,0.011,228.04,-3.7033
