spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,CFM,04,0.3260923845193508,178.42,142.12,68.77,0.0001,0.2168,0.0906,0.0001,0.6638,0.1545,240.16,-0.2233,0.82,0.73,0.67,0.76,high
BANG,CFM,05,0.3563377041637911,1.86,144.35,87.22,0.1473,0.3368,0.0539,0.0,0.9198,0.0403,231.08,-5.7636,0.71,0.6,0.36,0.61,mid
BANG,CFM,06,0.349022633744856,3.41,144.59,73.99,0.0293,0.2176,0.2093,0.0047,0.7521,0.0309,229.72,-6.7121,0.77,0.26,0.33,0.53,mid
BANG,CFM,07,0.3217984934086629,5.07,158.73,83.32,0.0124,0.1655,0.0663,0.0,0.8832,0.0802,236.34,-5.8004,0.8,0.61,0.55,0.69,mid
BANG,CFM,08,0.30424415832141155,2.01,170.75,101.9,0.0088,0.1713,0.0402,0.0001,0.8786,0.0805,236.09,-6.5654,0.9,0.63,0.56,0.75,high
BANG,CFM,09,0.3040189125295508,178.79,166.49,73.43,0.0002,0.1496,0.1049,0.0,0.8186,0.1029,240.35,-4.8172,0.91,0.62,0.65,0.77,high
BANG,CFM,10,0.246588693957115,2.82,158.39,98.63,0.023,0.2289,0.4123,0.004,0.7007,0.0956,235.33,0.7699,0.82,0.27,0.42,0.57,mid
BANG,CFM,11,0.30663780663780665,1.59,136.42,82.39,0.0241,0.2825,0.1759,0.0009,0.9831,0.0606,235.07,2.4556,0.77,0.34,0.28,0.54,mid
BANG,CFM,12,0.29698857736240913,1.26,153.57,66.22,0.0226,0.2362,0.1761,0.0,0.8358,0.0891,234.29,2.5837,0.84,0.53,0.34,0.65,mid
BANG,CFM,13,0.29890046296296297,2.09,144.73,73.84,0.0059,0.2326,0.2307,0.002,0.7678,0.0907,236.11,2.3861,0.81,0.31,0.38,0.57,mid
BANG,CFM,14,0.29754273504273504,2.32,148.71,71.51,0.1087,0.3043,0.0957,0.0,0.8059,0.1771,237.06,0.8078,0.74,0.64,0.65,0.69,mid
BANG,CFM,15,0.28378378378378377,2.59,180.77,95.65,0.0,0.0979,0.1452,0.0005,1.2837,0.0072,232.03,0.1554,0.92,0.33,0.16,0.59,mid
BANG,CFM,16,0.24107142857142858,179.42,163.56,90.33,0.0143,0.1427,-0.0018,0.0,1.0917,0.0043,231.01,1.0627,0.91,0.54,0.12,0.64,mid
BANG,CFM,17,0.27627627627627627,179.06,164.83,85.63,0.0016,0.1677,0.0438,0.0002,1.2196,0.0064,230.76,-1.3069,0.91,0.46,0.17,0.63,mid
BANG,CFM,18,0.23732251521298176,4.61,159.21,118.7,0.0036,0.2394,0.0533,0.0009,1.1233,0.0311,231.45,-1.9481,0.79,0.38,0.25,0.56,mid
BANG,CFM,19,0.23954895489548955,10.24,191.64,86.6,0.4646,0.1832,-0.018,0.0,1.1529,0.033,242.51,-1.9919,0.55,0.55,0.44,0.53,mid
BANG,CFM,20,0.29830917874396135,179.45,168.82,80.25,0.0016,0.1706,0.0687,0.0001,0.9011,0.0283,231.04,1.3652,0.92,0.59,0.16,0.67,mid
BANG,CFM,21,0.24308815858111632,179.86,146.28,94.2,0.0,0.225,0.1413,0.0008,0.8105,0.0392,228.3,-0.4327,0.85,0.5,0.18,0.61,mid
