spec,loc,num,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,CFM,22,179.87,147.99,98.73,0.0041,0.2321,0.0967,0,0.9662,0.069,229.67,0.7492,0.86,0.52,0.26,0.64,mid
BANG,CFM,23,0.07,148.76,117.68,0.0005,0.2492,0.0917,0.0002,0.9095,0.0265,232.38,1.7123,0.86,0.55,0.17,0.63,mid
BANG,CFM,24,178.46,151.05,84.07,0.0061,0.1906,0.1098,0,0.8863,0.0234,229.72,3.2467,0.81,0.57,0.1,0.6,mid
BANG,CFM,25,1.95,140.76,107.66,0.0167,0.2928,0.1858,0.0031,0.8268,0.0146,237.63,-0.0953,0.79,0.23,0.27,0.52,mid
BANG,CFM,26,175.7,145.58,114.78,0.0006,0.1864,0.0169,0,0.9435,0.0697,238.62,-4.2991,0.74,0.62,0.52,0.66,mid
BANG,CFM,27,179.77,134.43,111.6,0.0097,0.2426,0.0178,0,0.9757,0.0653,236.91,-5.1503,0.82,0.6,0.5,0.69,mid
BANG,CFM,28,177.95,128.86,101.37,0.0004,0.282,0.0543,0.0002,0.8675,0.0768,238.89,-2.3592,0.74,0.61,0.5,0.65,mid
BANG,CFM,29,4.66,133.79,115.94,0.0046,0.2003,-0.0247,0,0.915,0.0639,234.03,-3.0887,0.75,0.68,0.4,0.66,mid
BANG,CFM,30,179.09,135.17,104.17,0,0.2346,0.0277,0,1.0205,0.0318,234.54,-0.1258,0.8,0.56,0.26,0.62,mid
BANG,NFP,1,8.89,119.88,41.49,0.48,0.1627,0.0174,0,0.7736,0.1091,236.2,-0.449,0.47,0.74,0.5,0.56,mid
BANG,NFP,2,0.27,164.03,56.68,0.004,0.2608,0.0708,0,0.6212,0.1113,240.05,-0.5652,0.84,0.79,0.57,0.77,high
BANG,NFP,3,6.18,179.56,80.02,0.3972,0.3634,-0.0863,0,0.9986,0.1143,235.9,-2.0362,0.68,0.69,0.54,0.66,mid
BANG,NFP,4,11.04,113.37,114.46,0.8329,0.122,-0.0074,0,0.8617,0.1291,236.2,-3.7062,0.39,0.7,0.62,0.53,mid
BANG,NFP,5,6.82,156.79,59.51,0.089,0.2392,0.0323,0,0.8702,0.1375,237.32,-1.9232,0.69,0.66,0.62,0.67,mid
BANG,NFP,6,5.98,156.4,51.29,0.1777,0.2464,-0.0062,0,0.8477,0.1441,236.38,-5.5153,0.68,0.71,0.71,0.7,mid
BANG,NFP,7,179.32,191.58,50.08,0.0051,0.2046,0.0281,0,0.817,0.1386,241.86,-1.4337,0.91,0.7,0.69,0.8,high
BANG,NFP,8,2.83,182.52,68.03,0.162,0.2604,0.0865,0.0002,0.57,0.1512,235.09,2.7251,0.81,0.77,0.52,0.74,high
BANG,NFP,9,3.15,159.26,80.68,0.1698,0.3546,-0.0482,0.0028,0.8099,0.1403,235.72,2.5375,0.74,0.48,0.5,0.61,mid
BANG,NFP,10,,,,,,,,,,,,,,,,none
BANG,NFP,11,178.11,170.97,61.09,0.001,0.1927,-0.0409,0,0.7064,0.1784,240.33,2.9389,0.82,0.84,0.66,0.79,high
BANG,NFP,12,1.71,154.4,80.7,0.0461,0.2663,-0.0566,0.0002,0.8869,0.1367,239.47,1.3121,0.8,0.71,0.58,0.73,high
BANG,NFP,13,0.19,163.08,67.64,0.0153,0.2124,-0.1926,0.0011,0.9368,0.1679,237.53,-1.2695,0.86,0.64,0.69,0.76,high
BANG,NFP,14,3.08,143.31,91.72,0.1148,0.2631,0.0239,0,0.6651,0.0969,242.39,-4.4581,0.75,0.8,0.66,0.75,high
BANG,NFP,15,1.25,164.13,74.7,0.0257,0.248,-0.0118,0,0.5995,0.1117,242.23,-4.1,0.84,0.89,0.69,0.83,high
BANG,NFP,16,1.88,147.54,88.91,0.0899,0.3094,-0.1624,0,0.6087,0.1289,236.09,-4.2551,0.77,0.99,0.64,0.81,high
BANG,NFP,17,179.31,139.7,92.43,0.0005,0.1842,0.0778,0.0001,0.701,0.1574,235.23,-0.443,0.82,0.71,0.61,0.74,high
BANG,NFP,18,177.58,145.71,96.13,0.0653,0.2303,-0.1304,0,0.8069,0.1586,238.96,-0.4561,0.76,0.85,0.67,0.77,high
BANG,NFP,19,178.55,136.85,105.89,0.0108,0.2571,-0.1367,0,0.8406,0.1907,239.19,-0.6752,0.78,0.83,0.72,0.78,high
BANG,NFP,20,0.21,164.32,78.59,0.0451,0.2733,-0.1721,0,0.8262,0.2208,242.25,-2.8471,0.85,0.84,0.82,0.84,high
BANG,NFP,21,177.34,150.79,85.79,0.0004,0.2108,-0.0564,0,0.7969,0.1722,238.33,-0.9972,0.78,0.79,0.71,0.77,high
BANG,NFP,22,0.82,183.43,85.21,0.0316,0.2791,-0.0362,0.0017,0.7422,0.1706,242.5,-2.8293,0.9,0.63,0.82,0.8,high
BANG,NFP,23,179.33,150.63,70.76,0.0238,0.2582,-0.03,0,0.7809,0.1519,241.18,-1.4497,0.8,0.78,0.71,0.78,high
BANG,NFP,24,0.91,156.27,87.32,0.1276,0.2756,-0.1421,0,0.7781,0.1668,232.62,-0.381,0.81,0.87,0.59,0.78,high
BANG,NFP,25,177.38,152.42,99.16,0.0015,0.2165,-0.0663,0.0015,0.8105,0.1672,237.86,0.8487,0.8,0.63,0.64,0.72,high
BANG,NFP,26,179.37,167.54,113.36,0.0114,0.2503,-0.0322,0.0005,0.7928,0.1467,243.7,-3.9311,0.89,0.72,0.78,0.82,high
BANG,NFP,27,179.08,143,73.02,0.0621,0.1808,0.0223,0,0.6946,0.1088,234.89,1.2224,0.78,0.79,0.43,0.71,high
BANG,NFP,28,177.13,130.91,82.35,0.0005,0.1985,0.0409,0,0.6573,0.1144,235.71,2.2551,0.72,0.79,0.44,0.68,mid
BANG,NFP,29,7.18,82.94,132.62,0.1261,0.1362,0.046,0,0.5452,0.1353,237.37,-0.8693,0.55,0.83,0.59,0.64,mid
BANG,NFP,30,1.73,143.75,98.32,0.0882,0.2452,0.0269,0,0.5516,0.0907,238.73,-0.476,0.79,0.85,0.49,0.75,high
BANG,NFP,31,0.58,149.74,99.37,0.0103,0.1859,0.0554,0,0.6473,0.097,235.96,0.0925,0.86,0.78,0.45,0.75,high
BANG,PWM,1,3.54,136.39,88.94,0.1248,0.2761,-0.1053,0,0.891,0.1797,240.15,-4.2311,0.71,0.78,0.82,0.75,high
BANG,PWM,2,3.62,116.67,86.72,0.2809,0.2323,0.1456,0,0.8161,0.1508,239.1,-2.8193,0.63,0.58,0.71,0.63,mid
BANG,PWM,3,3.05,110.18,81.03,0.1379,0.1966,0.1029,0,0.863,0.1389,238.38,-3.3937,0.66,0.59,0.68,0.64,mid
BANG,PWM,4,7.07,117.47,67.05,0.2556,0.2383,0.0373,0,0.8446,0.1259,240.19,-5.0463,0.56,0.67,0.71,0.62,mid
BANG,PWM,5,5.36,117.25,71.04,0.1651,0.2514,0.1261,0,0.856,0.1394,240.03,-2.3434,0.61,0.57,0.68,0.61,mid
BANG,PWM,6,3.69,135.21,67.46,0.0638,0.1946,0.0999,0,0.8369,0.1015,240.03,-1.746,0.72,0.61,0.57,0.66,mid
BANG,PWM,7,7.42,153.54,74.55,0.2436,0.1483,0.0295,0,0.657,0.0984,239.5,-0.3101,0.66,0.8,0.52,0.67,mid
BANG,PWM,8,9.99,150.72,67.51,0.4753,0.2537,0.0121,0,0.7771,0.0945,239.89,-1.3563,0.53,0.74,0.54,0.59,mid
BANG,PWM,9,5.68,117.48,108.09,0.0637,0.2453,0.0327,0,0.6761,0.1139,242.96,-0.9584,0.67,0.79,0.63,0.7,mid
BANG,PWM,10,12.72,124.86,70.52,0.8041,0.2181,0.1229,0,0.7015,0.104,243.87,-1.2402,0.35,0.68,0.61,0.5,mid
BANG,PWM,11,6.23,146.51,69.42,0.0876,0.1398,0.0526,0,0.7506,0.0415,232.6,-2.0581,0.7,0.72,0.3,0.63,mid
BANG,PWM,12,3.23,150.01,73.81,0.0296,0.1923,-0.0861,0,0.8498,0.1166,242.85,-1.3104,0.78,0.79,0.64,0.76,high
BANG,PWM,13,3.37,155.73,85.26,0.0585,0.1801,-0.0034,0,0.8168,0.1335,241.81,-0.5026,0.8,0.73,0.65,0.75,high
BANG,PWM,14,12.7,122.45,84.7,0.8278,0.2172,0.0869,0,0.6744,0.1337,241.79,-1.2121,0.36,0.73,0.67,0.53,mid
BANG,PWM,15,11.91,121.71,75.44,0.7245,0.2157,0.008,0,0.5086,0.081,241.28,-1.7852,0.38,0.87,0.54,0.56,mid
BANG,PWM,16,6.24,144.09,70.31,0.2746,0.2525,0.101,0.0003,0.7746,0.1422,240.45,-2.0196,0.63,0.62,0.69,0.64,mid
BANG,PWM,17,6.25,154.09,67.57,0.0305,0.2161,-0.0441,0,0.6973,0.0921,241.11,-2.2527,0.72,0.85,0.58,0.73,high
BANG,PWM,18,6.66,147.35,89.23,0.1851,0.2298,-0.0765,0,0.817,0.1189,242.4,-1.4799,0.68,0.8,0.65,0.71,high
BANG,PWM,19,10.94,148.21,102.72,0.7477,0.2539,0.2477,0.0025,0.6873,0.1269,238.94,-2.1393,0.48,0.32,0.63,0.46,mid
BANG,PWM,20,4.21,130.01,72.76,0.0394,0.2472,-0.0138,0,0.6646,0.1011,242.13,-0.9607,0.7,0.84,0.59,0.72,high
BANG,PWM,21,8.41,169.17,79.45,0.3792,0.2024,0.0973,0,0.8175,0.1084,238.95,-2.5776,0.65,0.63,0.59,0.63,mid
BANG,PWM,22,5.05,145.67,61.84,0.0348,0.1368,0.0042,0,0.9698,0.014,225.58,-0.6959,0.72,0.61,0.08,0.56,mid
BANG,PWM,23,8.51,169.14,77.01,0.3415,0.1554,0.2291,0.0018,0.9968,0.0266,238.78,-8.1273,0.66,0.18,0.5,0.48,mid
BANG,PWM,24,3.12,127.78,80.12,0.0469,0.2241,0.0818,0,0.8608,0.0595,237.82,-5.4878,0.72,0.61,0.51,0.64,mid
BANG,PWM,25,6.63,182.42,83.85,0.0671,0.0842,0.1172,0,0.8587,0.0378,241.7,-6.0846,0.8,0.58,0.53,0.68,mid
BANG,PWM,26,14.09,53.22,91.03,0.9808,0.1929,0.1334,0.0003,0.928,0.0501,235.85,-3.5426,0.24,0.48,0.41,0.35,low
BANG,PWM,27,7.39,145.64,74.35,0.1874,0.2056,0.0694,0,0.9762,0.0504,233.69,-6.8929,0.65,0.55,0.45,0.58,mid
BANG,PWM,28,9.12,107.8,123.59,0.571,0.1838,0.0551,0,0.9783,0.0432,235.88,-2.5032,0.47,0.56,0.37,0.48,mid
BANG,PWM,29,6.49,156.51,94.49,0.1298,0.207,0.0393,0,0.7553,0.0373,237.25,-3.086,0.74,0.73,0.39,0.67,mid
BANG,PWM,30,3.35,129.22,61.65,0.1708,0.2255,0.0009,0,1.2721,0.0945,233.94,-2.0571,0.67,0.53,0.46,0.59,mid
BANG,PWM,31,7.06,135.61,81.95,0.2677,0.1802,0.1982,0.0013,0.6021,0.0975,243.6,-3.2458,0.63,0.53,0.64,0.6,mid
BANG,PWM,32,8.54,153.38,82.58,0.2821,0.21,0.0895,0,0.778,0.0606,231.98,-3.7657,0.64,0.66,0.38,0.59,mid
BANG,PWM,33,4.21,143.18,90.64,0.0782,0.1473,0.0436,0,0.823,0.1091,240.42,-3.9026,0.75,0.68,0.65,0.71,high
BANG,PWM,34,5.2,138.83,92.89,0.0175,0.199,0.0137,0,0.7101,0.1009,241.98,-1.4336,0.74,0.78,0.59,0.72,high
CARP,CFM,1,0.39,164.94,92.36,0.0004,0.1201,0.1723,0.0057,0.911,0.0814,230.95,0.4968,0.9,0.5,0.59,0.72,high
CARP,CFM,2,0.71,158.32,94.1,0.0017,0.1676,0.0995,0.0007,1.0237,0.0517,227.5,0.1366,0.88,0.58,0.38,0.69,mid
CARP,CFM,3,179.87,161.29,58.34,0,0.0929,0.0969,0.0003,1.0473,0.0797,231.94,-0.8214,0.85,0.59,0.64,0.73,high
CARP,CFM,4,0.51,170.61,84.84,0.0001,0.129,0.1403,0.0001,0.9192,0.0372,237.87,6.22,0.9,0.61,0.31,0.7,mid
CARP,CFM,5,3.79,193.8,125.1,0.0002,0.1042,0.0343,0.0002,0.8978,0.0424,223.58,7.4929,0.92,0.71,0.15,0.7,high
