spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
BANG,PWM,15,0.008,0.0,0.5086,0.081,241.28,-1.7852
BANG,PWM,16,0.101,0.0003,0.7746,0.1422,240.45,-2.0196
BANG,PWM,17,-0.0441,0.0,0.6973,0.0921,241.11,-2.2527
BANG,PWM,18,-0.0765,0.0,0.817,0.1189,242.4,-1.4799
BANG,PWM,19,0.2477,0.0025,0.6873,0.1269,238.94,-2.1393
BANG,PWM,20,-0.0138,0.0,0.6646,0.1011,242.13,-0.9607
BANG,PWM,21,0.0973,0.0,0.8175,0.1084,238.95,-2.5776
BANG,PWM,22,0.0042,0.0,0.9698,0.014,225.58,-0.6959
BANG,PWM,23,0.2291,0.0018,0.9968,0.0266,238.78,-8.1273
BANG,PWM,24,0.0818,0.0,0.8608,0.0595,237.82,-5.4878
BANG,PWM,25,0.1172,0.0,0.8587,0.0378,241.7,-6.0846
BANG,PWM,26,0.1334,0.0003,0.928,0.0501,235.85,-3.5426
BANG,PWM,27,0.0694,0.0,0.9762,0.0504,233.69,-6.8929
BANG,PWM,28,0.0551,0.0,0.9783,0.0432,235.88,-2.5032
BANG,PWM,29,0.0393,0.0,0.7553,0.0373,237.25,-3.086
BANG,PWM,30,0.0009,0.0,1.2721,0.0945,233.94,-2.0571
BANG,PWM,31,0.1982,0.0013,0.6021,0.0975,243.6,-3.2458
BANG,PWM,32,0.0895,0.0,0.778,0.0606,231.98,-3.7657
BANG,PWM,33,0.0436,0.0,0.823,0.1091,240.42,-3.9026
BANG,PWM,34,0.0137,0.0,0.7101,0.1009,241.98,-1.4336
CARP,CFM,01,0.1723,0.0057,0.911,0.0814,230.95,0.4968
CARP,CFM,02,0.0995,0.0007,1.0237,0.0517,227.5,0.1366
CARP,CFM,03,0.0969,0.0003,1.0473,0.0797,231.94,-0.8214
CARP,CFM,04,0.1403,0.0001,0.9192,0.0372,237.87,6.22
CARP,CFM,05,0.0343,0.0002,0.8978,0.0424,223.58,7.4929
CARP,NFP,01,0.1834,0.0007,0.8291,0.0956,241.02,-7.9182
CARP,NFP,02,0.0412,0.0,0.7568,0.1353,231.91,-1.6853
CARP,NFP,03,0.023,0.0,0.4378,0.1036,238.35,-0.7633
CARP,NFP,04,0.3932,0.01,0.7108,0.071,238.81,2.4573
CARP,NFP,05,0.6415,0.0233,0.5731,0.0867,234.58,-1.0862
CARP,NFP,06,0.0788,0.0,0.7225,0.0789,230.11,0.612
CARP,NFP,07,0.4081,0.0174,0.7831,0.0334,230.32,-1.5104
CARP,NFP,08,0.0784,0.0,0.6077,0.048,231.34,-3.6461
CARP,NFP,09,0.1743,0.0011,0.6889,0.0415,231.71,-1.7801
CARP,NFP,10,0.2782,0.0073,0.75,0.069,230.05,-1.8118
CARP,NFP,11,0.434,0.0184,0.6162,0.0369,230.92,1.631
CARP,NFP,12,0.2854,0.0085,0.6552,0.0519,232.43,0.9267
CARP,NFP,13,0.2907,0.0022,0.8005,0.0898,226.62,-1.9461
CARP,NFP,14,0.1285,0.0001,0.7573,0.0678,232.5,0.4509
CARP,NFP,15,0.3693,0.0082,0.8891,0.0751,230.52,3.9722
CARP,NFP,16,0.2541,0.0018,0.6985,0.032,231.27,-1.1466
CARP,NFP,17,0.1502,0.0,0.8446,0.0765,231.42,-2.4571
CARP,NFP,18,0.0554,0.0,0.8636,0.0698,231.78,-3.5589
CARP,NFP,19,0.0282,0.0002,0.9266,0.0399,232.73,-0.1319
CARP,NFP,20,0.1444,0.0,0.8167,0.03,242.77,-0.2763
CARP,NFP,21,0.141,0.0,0.8234,0.0748,231.93,1.5991
CARP,NFP,22,0.0633,0.0,0.9357,0.032,226.78,5.504
CARP,NFP,23,0.089,0.0,0.8271,0.0085,245.32,0.6364
CARP,NFP,24,0.0393,0.0,0.9027,0.0304,231.04,-1.9913
CARP,NFP,25,0.0952,0.0,0.7936,0.0437,231.73,-0.4038
CARP,NFP,26,0.0588,0.0,0.7785,0.0582,233.3,-1.8821
CARP,NFP,27,0.121,0.0018,0.7299,0.0655,234.7,2.7645
CARP,NFP,28,0.2028,0.0,0.7425,0.0479,238.06,3.0211
CARP,NFP,29,0.0292,0.0,0.9625,0.0593,230.0,0.2122
CARP,NFP,30,0.0263,0.0,0.9766,0.0365,230.74,0.5023
CARP,NFP,31,0.0808,0.0,0.9266,0.0812,232.09,2.796
CARP,NFP,32,0.0226,0.0,0.9765,0.0674,230.04,3.3891
CARP,NFP,33,0.0359,0.0,0.863,0.0759,235.56,-3.2189
CARP,NFP,34,0.0649,0.0,0.8657,0.0164,240.75,-1.8923
CARP,NFP,35,0.1473,0.0021,0.8142,0.0138,246.2,-0.9995
CARP,NFP,36,0.0398,0.0,0.8484,0.0145,239.45,0.8762
CARP,NFP,37,0.2363,0.0042,0.8997,0.0444,234.76,2.9108
CARP,PWM,01,0.1677,0.0,0.8063,0.0327,229.19,2.9752
CARP,PWM,02,0.0406,0.0002,0.9542,0.0621,233.96,4.6036
CARP,PWM,03,0.5252,0.0223,0.7701,0.0511,234.04,0.2065
CARP,PWM,04,0.0874,0.0,0.9001,0.065,231.15,2.5645
CARP,PWM,05,0.1369,0.0,0.8456,0.0353,229.35,2.4553
CARP,PWM,06,0.383,0.0174,0.7069,0.0339,229.39,2.7459
CARP,PWM,07,0.1063,0.0007,0.7481,0.0691,234.35,3.9718
CARP,PWM,08,0.1286,0.0024,0.917,0.076,235.26,2.9185
CARP,PWM,09,0.1163,0.0,0.9286,0.0394,231.46,-1.4731
CARP,PWM,10,0.2415,0.0031,0.9217,0.0462,235.96,3.5268
TILA,BWM,01,0.1868,0.0041,1.2968,0.0059,240.62,-6.964
TILA,BWM,02,0.0944,0.0028,1.1566,0.008,229.79,-8.9177
TILA,BWM,03,0.2223,0.0074,0.9751,0.0041,240.04,-15.1125
TILA,BWM,04,0.2354,0.0101,1.3967,0.0207,225.38,-10.8141
TILA,BWM,05,0.0665,0.0009,1.2755,0.0062,238.28,-7.4695
TILA,BWM,06,0.0722,0.0025,1.789,0.0104,236.84,-5.298
TILA,BWM,07,0.1131,0.0006,1.7118,0.019,232.5,-3.5052
TILA,BWM,08,0.1994,0.0031,1.7351,0.0134,229.66,-9.0116
TILA,BWM,09,0.0965,0.0002,1.4864,0.0023,223.78,-11.7923
TILA,BWM,10,0.0092,0.0023,1.4691,0.0076,226.46,-5.931
TILA,BWM,11,0.077,0.0028,1.0352,0.0444,217.42,-2.3064
TILA,BWM,12,0.1658,0.0056,0.8161,0.0623,225.26,-1.3835
TILA,BWM,13,0.157,0.0063,1.1154,0.0153,220.09,-2.4702
TILA,BWM,14,0.2444,0.0078,1.0364,0.0441,227.81,-2.0619
TILA,BWM,15,0.1416,0.0054,1.0772,0.0205,221.41,-2.2476
TILA,BWM,16,0.079,0.0024,1.0019,0.0128,221.69,0.8214
TILA,BWM,17,0.2273,0.0072,1.013,0.0098,216.31,0.9298
TILA,BWM,18,0.1507,0.005,1.1579,0.0138,217.45,-2.7721
TILA,BWM,19,0.4233,0.0172,0.9782,0.0418,228.08,0.244
TILA,BWM,20,0.1943,0.0052,0.9436,0.0235,222.35,-2.924
TILA,BWM,21,0.2327,0.0041,1.0916,0.0084,238.86,-3.7033
TILA,BWM,22,0.1546,0.0061,1.1376,0.0083,232.25,-3.9052
TILA,BWM,23,0.2143,0.0076,1.2102,0.0101,238.84,-2.8801
TILA,BWM,24,0.112,0.005,0.8094,0.0147,240.56,1.1032
TILA,BWM,25,0.2079,0.006,1.3088,0.0148,229.33,1.9809
TILA,BWM,26,0.1888,0.0045,0.993,0.0486,223.27,-3.0588
TILA,BWM,27,0.158,0.003,1.032,0.0334,225.21,-0.7127
TILA,BWM,28,0.2249,0.004,0.9738,0.0244,224.04,-1.5396
TILA,BWM,29,0.0398,0.0,1.2396,0.0184,222.18,-2.234
TILA,BWM,30,0.2844,0.0097,1.277,0.0228,221.29,-4.1964
