filename,species,quality_label,image_path,red_intensity_lab_a_mean,red_coverage_lab_a_ratio,eye_L_mean,eye_cloudiness_ratio,laplacian_variance,sobel_gradient_mean,edge_density_canny,gray_std_dev,gray_entropy,local_contrast,lbp_texture_score,cloudy_pixel_ratio,mean_saturation,mean_value,saturation_std_dev,highlight_ratio,brightest_pixel_ratio,reflection_intensity,highlight_area_std,rgb_redness_ratio,lab_a_mean,lab_a_std,hsv_hue_mean,hsv_hue_std,red_channel_dominance,bgr_blue_ratio,eye_area,eye_perimeter,circularity,aspect_ratio,contour_compactness,otsu_threshold_value
TILA_PWM_39_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_39_eye.jpg,0.054321,6.1e-05,2.9599,,370.09314,10.765841,0.010315,24.390951,0.313656,1.326487,966077.625,0.001709,3.002991,3.217712,21.075338,1.0,0.0,2.774414,36.949291,0.010764,0.054321,0.565403,4.02771,21.433859,4.088889,0.014987,404.0,89.112698,0.639311,0.394737,19.656121,75.0
TILA_PWM_40_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_40_eye.jpg,0.159424,0.006226,3.259644,,302.392212,12.290272,0.010132,24.204943,0.340223,1.459237,960541.75,0.001709,3.114319,3.606873,20.439247,1.0,0.000488,3.091187,36.949291,0.012476,0.159424,1.474548,2.895691,18.331957,23.025455,0.014677,100.0,42.627417,0.691563,1.0,18.170966,80.0
TILA_PWM_41_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_41_eye.jpg,0.161438,0.006592,2.503723,,288.564087,10.179339,0.010559,20.480482,0.333395,1.27492,962144.375,0.000488,2.691895,2.798645,18.222174,1.0,0.0,2.361572,36.949291,0.012413,0.161438,1.417188,3.583923,21.515905,21.517698,0.013355,352.0,110.426406,0.362749,0.384615,34.64202,65.0
TILA_PWM_42_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_42_eye.jpg,0.151123,0.006897,4.732056,,338.516357,14.858946,0.013916,28.039907,0.475229,1.808689,928580.3125,0.002319,4.144592,5.103638,23.003592,0.051636,0.0,86.695038,13.043106,0.017431,0.151123,1.552228,3.826111,19.867073,23.506023,0.020451,654.5,121.84062,0.554033,0.38,22.681645,75.0
TILA_PWM_43_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_43_eye.jpg,0.260193,0.009888,3.68512,,279.67981,13.074941,0.011169,25.666084,0.392905,1.552448,946907.5,0.001099,3.297607,4.126221,20.201828,1.0,0.000183,3.494995,36.949291,0.014652,0.260193,1.967506,4.0578,23.060921,26.54491,0.016164,212.0,81.941125,0.396773,0.571429,31.671453,78.0
TILA_PWM_44_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_44_eye.jpg,0.029175,0.0,4.371155,,305.331909,12.551348,0.013062,26.620981,0.491306,1.549733,920782.375,0.000488,5.357666,4.995911,26.442825,0.05011,0.0,80.566383,10.06699,0.016209,0.029175,0.63575,6.188965,25.400505,1.117647,0.025021,692.0,117.597979,0.628805,0.38,19.984515,66.0
TILA_PWM_45_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_45_eye.jpg,0.048218,0.001404,6.271423,,376.919556,16.426483,0.013733,34.529003,0.487824,1.961458,924067.75,0.007568,3.42041,6.601135,20.351307,0.050232,0.000122,118.06926,14.482069,0.01702,0.048218,0.781949,5.123291,23.456526,12.307229,0.021147,680.5,116.183766,0.633501,0.387755,19.836396,88.0
TILA_PWM_46_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_46_eye.jpg,0.145203,0.00708,4.864441,,306.917725,14.732792,0.01178,31.24757,0.43146,1.741365,938202.875,0.003662,3.293701,5.201233,20.047712,1.0,6.1e-05,4.610657,36.949291,0.015973,0.145203,1.504501,3.317566,18.726637,24.4625,0.017449,209.5,85.355338,0.361354,0.692308,34.775818,89.0
TILA_PWM_47_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_47_eye.jpg,0.172546,0.004761,4.37738,,347.606079,13.119627,0.012756,27.894726,0.410691,1.594356,943154.5625,0.00116,3.313354,4.831726,20.212345,1.0,0.0,4.107239,36.949291,0.014285,0.172546,1.17326,5.0224,24.543665,12.709678,0.019284,567.5,105.355338,0.642484,0.377778,19.559026,77.0
TILA_PWM_48_eye.jpg,tilapia,unknown,dataset\tilapia\TILA_PWM_48_eye.jpg,0.06012,0.00116,4.166321,,289.175537,12.400633,0.009155,26.553389,0.330634,1.459598,962632.6875,0.006775,2.782471,4.438171,20.231712,1.0,0.000305,3.959534,36.949291,0.01088,0.06012,0.744765,3.345642,19.213346,14.10219,0.015275,189.0,63.455844,0.589832,0.681818,21.304995,87.0
